0,-0.904487,-1.359123,9.793823,-0.893345,-1.342381,9.673176,6832492524
1,-0.844666,-1.320838,9.846465,-0.875653,-1.316843,9.678303,6832592500
2,-0.897308,-1.395016,9.870394,-0.869857,-1.311475,9.679554,6832692477
3,-0.935594,-1.344766,9.836893,-0.879146,-1.306733,9.679357,6832792451
4,-0.954736,-1.347159,9.903893,-0.884002,-1.291316,9.680983,6832892427
5,-0.878166,-1.392623,9.908678,-0.872699,-1.287966,9.682454,6832992402
6,-0.890130,-1.349552,9.832108,-0.867252,-1.282345,9.683690,6833092378
7,-0.911665,-1.328017,9.879964,-0.862253,-1.266137,9.686269,6833192354
8,-0.906880,-1.323231,9.868000,-0.860459,-1.254222,9.687978,6833292330
9,-0.923629,-1.311267,9.863215,-0.858474,-1.236029,9.690493,6833392305
10,-0.873380,-1.313660,9.870394,-0.851298,-1.227807,9.692170,6833492280
11,-0.861416,-1.261017,9.891929,-0.834463,-1.197424,9.697434,6833592256
12,-0.906880,-1.301696,9.985250,-0.819734,-1.170964,9.701921,6833692231
13,-0.890130,-1.256232,9.894321,-0.813714,-1.151296,9.704781,6833792207
14,-0.811167,-1.308874,9.966106,-0.785116,-1.127211,9.709963,6833892183
15,-0.839881,-1.229911,9.860823,-0.749514,-1.065148,9.719777,6833992158
16,-0.693919,-1.258625,9.913465,-0.636821,-0.945955,9.740124,6834092134
17,-0.203390,-1.071985,9.767502,-0.420517,-0.772797,9.767105,6834192109
18,0.131605,-1.098306,9.068797,-0.129361,-0.564844,9.789515,6834292085
19,1.086342,-1.306481,8.382057,0.365558,0.007668,9.799831,6834392061
20,2.699104,-1.957329,9.334401,1.046437,2.458878,9.435533,6834492036
21,4.199404,-1.335195,10.571491,1.609644,-5.513750,7.948459,6834592012
22,3.986443,-1.895115,11.105090,2.387761,-4.873139,8.168323,6834691987
23,3.574877,-3.943372,9.190832,2.981976,-4.533785,8.168415,6834791963
24,3.859623,-4.697111,8.164310,3.585851,-4.431406,7.979643,6834891939
25,4.852644,-4.871787,7.312466,4.328284,-4.417064,7.610906,6834991914
26,6.439085,-4.414758,7.190433,5.161202,-4.144112,7.235932,6835091890
27,7.317252,-1.607977,6.218946,6.199122,-3.747654,6.610322,6835191865
28,7.295716,-0.509671,6.611369,6.974990,-3.000948,6.205982,6835291841
